band_id;genre_name
241;Progressive metal
241;Glam metal
242;Indie rock
242;Indietronica
242;Alternative rock
243;Hard rock
243;Glam metal
243;Glam rock
243;Gothic rock
243;Rock and roll
244;Indie rock
244;Indietronica
244;Dream pop
244;Indie pop
244;Noise pop
245;Emo
245;Indie rock
245;Indietronica
245;Pop punk
245;Alternative rock
246;Hard rock
246;Alternative metal
246;Post-hardcore
246;Alternative rock
247;Contemporary Christian music
247;Contemporary worship music
248;Southern rock
248;Texas blues
250;Southern rock
250;Country music
250;Outlaw country
251;Speed metal
251;Power metal
251;Thrash metal
252;Power pop
253;Rap rock
253;Rapcore
253;Hip hop
254;Hard rock
254;Psychedelic rock
254;Glam metal
254;Power pop
255;Indie pop
256;Art rock
256;Alternative rock
256;Progressive rock
257;Pop music
257;Christian rock
258;Trip hop
258;Electronica
258;House music
258;Hip hop
258;Downtempo
260;Folk rock
260;Alternative rock
261;Alternative dance
261;Electronica
261;Drum and bass
262;Thrash metal
263;Grindcore
264;Punk rock
265;Indie rock
265;Indietronica
265;Indie pop
265;Britpop
266;Traditional folk music
266;Pop music
267;Emo
267;Punk rock
267;Pop punk
267;Post-hardcore
267;Alternative rock
268;Punk rock
268;Pop punk
269;Speed metal
269;Progressive metal
269;Thrash metal
270;Rockabilly
271;Punk rock
271;Hardcore punk
272;Electropop
272;Synthpop
273;Folk rock
273;Hard rock
273;Roots rock
273;Blues rock
274;Jazz rock
274;Jazz fusion
275;Hard rock
275;Garage rock
275;Power pop
276;Nintendocore
276;Power metal
277;Indie rock
277;Indietronica
277;New wave
277;Synthpop
277;Post-punk revival
277;Noise pop
278;Funk
280;Extreme metal
280;Progressive metal
280;Djent
280;Grindcore
280;Mathcore
281;Metalcore
281;Post-hardcore
281;Alternative rock
281;Space rock
281;Progressive rock
282;Pop punk
282;Alternative rock
282;Power pop
283;Emo
283;Indie rock
283;Indietronica
283;Post-hardcore
284;Metalcore
285;Pop music
285;Electropop
285;Techno
286;Folk rock
286;Indie rock
286;Indietronica
287;Traditional folk music
287;Indie folk
288;Soul
288;Rhythm and blues
288;Funk
290;Country music
290;Country rock
291;Mandopop
291;Dance-pop
292;Old-time music
292;Skiffle
293;Melodic death metal
294;Pop rock
294;Pop punk
294;Alternative rock
295;Industrial
295;Futurepop
295;Synthpop
295;Electro
295;Electronic body music
296;Alternative rock
297;Indie rock
297;Indietronica
297;Alternative rock
297;Rock music
298;Indie rock
298;Indietronica
298;Pop music
298;Rock music
299;Electropop
299;Comedy music
299;Synthpop
300;Pop music
301;Pop rock
301;Pop punk
302;Alternative dance
302;Electronica
302;Hip house
302;House music
302;Hip hop
302;Alternative hip hop
303;Noise pop
303;Rock music
304;Grunge
304;Power metal
304;Alternative rock
305;Punk rock
305;New wave
306;Alternative rock
306;Rock music
307;Dancehall
307;Soca music
308;Miami bass
308;Electro
309;Alternative dance
309;Pop music
309;Electronic dance muslc
309;Hi-NRG
309;Synthpop
309;Dance-pop
310;Art rock
310;Indie rock
310;Indietronica
310;Alternative rock
310;Baroque pop
312;Blue-eyed soul
312;Rock music
312;Beat
313;Traditional folk music
313;World music
314;Folk rock
314;Traditional folk music
314;Jangle pop
314;Alternative country
314;Bluegrass
315;Stoner rock
315;Hardcore punk
315;Alternative metal
315;Alternative rock
315;Heavy metal
316;Soul
316;Pop music
318;Punk rock
318;Hardcore punk
318;Cowpunk
318;Heavy metal
318;Psychobilly
319;Indie rock
319;Indietronica
319;Pop rock
319;Indie folk
319;Baroque pop
320;Punk rock
320;Melodic hardcore
320;Hardcore punk
321;Pop punk
321;Alternative rock
322;Noise music
322;Shoegazing
322;Neo-psychedelia
322;Alternative rock
323;Hardcore hip hop
323;Gangsta rap
324;Doom metal
325;Gothic rock
326;Soul
326;Rhythm and blues
326;Disco
328;Indie rock
328;Indietronica
328;Pop rock
328;Alternative rock
328;Power pop
329;Death metal
329;Crossover thrash
331;Math rock
331;Avant-garde metal
332;Teen pop
332;Pop music
332;Contemporary Christian music
332;Rock music
334;Post-hardcore
334;Alternative rock
335;Electronica
335;Breakbeat
335;Hip hop
335;Grime
336;Psychedelic rock
336;Jangle pop
336;Garage rock
336;Alternative rock
336;Post-punk
338;Deathcore
339;Hard rock
339;Glam metal
339;Heavy metal
341;Blues
341;World music
342;Grunge
342;Garage rock
342;Post-punk
342;Psychobilly
343;Electropop
343;J-pop
343;Bitpop
343;Techno
343;Dance-pop
344;Alternative rock
344;Experimental rock
344;Alternative hip hop
346;Indie rock
346;Indietronica
346;Alternative rock
348;Garage rock
349;Electronicore
349;Metalcore
350;Hard rock
350;Post-grunge
350;Alternative rock
351;Speed metal
351;Power metal
352;Alternative dance
352;Nu-disco
352;French house
353;Folk rock
