129;http://dbpedia.org/resource/Scaterd_Few;Scaterd Few
130;http://dbpedia.org/resource/Centipede_(band);Centipede (band)
131;http://dbpedia.org/resource/Dark_Star_(band);Dark Star (band)
132;http://dbpedia.org/resource/Penguin_Cafe_Orchestra;Penguin Cafe Orchestra
133;http://dbpedia.org/resource/Frantic_Bleep;Frantic Bleep
134;http://dbpedia.org/resource/Salim–Sulaiman;Salim–Sulaiman
135;http://dbpedia.org/resource/The_Ballistics;The Ballistics
136;http://dbpedia.org/resource/Odd_Project;Odd Project
137;http://dbpedia.org/resource/Sywnthkrawft;Sywnthkrawft
138;http://dbpedia.org/resource/Carbonized;Carbonized
139;http://dbpedia.org/resource/Divine_Heresy;Divine Heresy
140;http://dbpedia.org/resource/The_Red_Jumpsuit_Apparatus;The Red Jumpsuit Apparatus
141;http://dbpedia.org/resource/Lucky_Soul;Lucky Soul
142;http://dbpedia.org/resource/Petitmoni;Petitmoni
143;http://dbpedia.org/resource/Babylon_A.D._(band);Babylon A.D. (band)
144;http://dbpedia.org/resource/Icon_of_Coil;Icon of Coil
145;http://dbpedia.org/resource/SPA_(band);SPA (band)
146;http://dbpedia.org/resource/Scatter_(band);Scatter (band)
147;http://dbpedia.org/resource/The_Christians_(band);The Christians (band)
148;http://dbpedia.org/resource/Jinja_Safari;Jinja Safari
149;http://dbpedia.org/resource/Miniature_(band);Miniature (band)
150;http://dbpedia.org/resource/Chage_and_Aska;Chage and Aska
151;http://dbpedia.org/resource/My_Ransomed_Soul;My Ransomed Soul
152;http://dbpedia.org/resource/Ninety_Pound_Wuss;Ninety Pound Wuss
153;http://dbpedia.org/resource/Coachwhips;Coachwhips
154;http://dbpedia.org/resource/Marvelous_3;Marvelous 3
155;http://dbpedia.org/resource/The_Smoke;The Smoke
156;http://dbpedia.org/resource/Il_Balletto_di_Bronzo;Il Balletto di Bronzo
157;http://dbpedia.org/resource/Undish;Undish
158;http://dbpedia.org/resource/Bourbon_Crow;Bourbon Crow
159;http://dbpedia.org/resource/4_Runner;4 Runner
160;http://dbpedia.org/resource/Viper_Solfa;Viper Solfa
161;http://dbpedia.org/resource/The_Rubens;The Rubens
162;http://dbpedia.org/resource/Fahrenhaidt;Fahrenhaidt
163;http://dbpedia.org/resource/Kenickie;Kenickie
164;http://dbpedia.org/resource/Incognito_(band);Incognito (band)
165;http://dbpedia.org/resource/Mount_Righteous;Mount Righteous
