momento;1-0005;5-0005;1-_006;5-_006;1-_007;5-_007;1-_008;5-_008;1-_010;5-_010;1-_011;5-_011;1-_016;5-_016;1-_018;5-_018;1-_019;5-_019;1-_021;5-_021;1-_035;5-_035;1-_038;5-_038;1-_039;5-_039;1-_041;5-_041;1-_043;5-_043;1-_045;5-_045;1-_047;5-_047;1-_050;5-_050;1-_064;5-_064;1-_065;5-_065;1-_066;5-_066;1-_067;5-_067;1-_071;5-_071;1-_076;5-_076;1-_078;5-_078;1-_079;5-_079;1-_083;5-_083;1-_084;5-_084;1-_089;5-_089;1-_092;5-_092;1-_095;5-_095;1-_096;5-_096;1-_097;5-_097;1-_098;5-_098;1-_099;5-_099;1-0112;5-0112;1-0116;5-0116;1-0109;5-0109
182;-475.82;-444.77;-471.27;-436.55;-396.8;-357.27;-437.48;-376.17;-327.55;-332.06;-397.51;-360.14;-422.92;-306.94;-349.53;-319.84;-386.83;-342.83;-456.96;-440.55;-469.56;-421.86;-458.09;-437.5;-482.28;-459.91;-435.85;-438.01;-461.17;-453.15;-456.42;-454.57;-460.05;-452.94;-457.54;-448.56;-437.89;-441.51;-423.08;-390.86;-367.1;-389.31;-452.87;-425.65;-440.94;-444.89;-336.81;-331.65;-392.5;-491.12;-430.84;-358.52;-481.32;-485.49;-503.44;-466.05;-483.95;-451.82;-454.75;-426.74;-310.44;-477.81;-476.99;-404.54;-457.92;-300.94;-457.46;-439.88;-491.21;-484.24;-465.09;-409.38;-467.14;-439.09;-478.65;-439.55
183;-474.44;-443.18;-469.98;-434.54;-394.63;-354.8;-435.72;-374.21;-324.75;-328.64;-395.63;-358.18;-420.2;-304.73;-346.49;-317.33;-384.95;-340.41;-456.04;-438.84;-467.89;-419.69;-456.46;-435.84;-481.62;-458.28;-434.43;-435.88;-460.01;-451.44;-454.92;-452.61;-459.05;-451.27;-456.67;-446.89;-436.18;-440.05;-421.87;-389.39;-364.72;-386.22;-451.08;-423.28;-439.02;-442.55;-333.26;-326.81;-390.46;-489.5;-428.97;-354.6;-481.32;-484.07;-503.44;-465.29;-483.12;-450.52;-453.5;-424.74;-307.73;-476.52;-475.82;-402.25;-456.71;-298.64;-456.29;-438.09;-490.34;-482.9;-463.05;-406.92;-465.64;-437.38;-477.4;-437.96
184;-472.56;-440.84;-467.97;-431.91;-391.71;-351.47;-434.35;-372.91;-322.83;-326.26;-393;-355.35;-418.33;-303.4;-344.4;-315.41;-383.78;-338.74;-454.67;-436.25;-466.68;-418.23;-454.12;-433.67;-480.99;-457.16;-432.55;-432.5;-458.29;-448.94;-453.75;-451.02;-457;-448.85;-455.33;-444.26;-434.18;-438.42;-420.41;-386.97;-362.71;-383.85;-449.7;-421.73;-436.39;-439.59;-330.72;-323.68;-388.71;-488.33;-427.67;-351.55;-481.2;-483.78;-503.23;-464.25;-481.99;-448.69;-451.58;-421.86;-305.52;-475.31;-474.77;-399.66;-454.87;-295.22;-454.46;-435.34;-488.92;-481.11;-461.38;-404.92;-463.59;-435.38;-475.94;-436
185;-471.14;-439.17;-466.51;-430.04;-389.5;-349.13;-432.64;-371.12;-320.12;-323.13;-391.13;-353.47;-415.57;-301.39;-341.6;-313.12;-382.07;-336.4;-453.62;-434.38;-464.84;-415.93;-452.62;-432.25;-480.07;-455.32;-431.22;-430.16;-456.92;-447.19;-452.16;-448.73;-455.5;-446.81;-454.21;-442.55;-432.64;-437.25;-419.2;-385.22;-359.67;-380.8;-447.82;-419.44;-434.47;-437.34;-327.34;-318.63;-386.7;-486.45;-425.75;-347.63;-481.12;-483.24;-503.14;-463.5;-481.16;-447.31;-450.12;-419.77;-302.64;-473.76;-473.15;-396.57;-453.62;-292.76;-453.16;-433.79;-488;-478.31;-459.13;-402.2;-462.22;-434.04;-474.82;-434.33
186;-469.14;-436.63;-464.39;-427.32;-386.58;-345.83;-431.22;-369.74;-318.53;-321.09;-388.46;-350.67;-413.65;-299.98;-339.52;-311.41;-380.61;-334.69;-452.04;-431.45;-463.47;-414.01;-450.53;-430.24;-479.32;-454.07;-429.22;-426.45;-455.17;-444.39;-450.95;-447.02;-453.37;-444.01;-452.66;-438.84;-430.51;-435.54;-417.58;-382.8;-358;-378.13;-446.53;-417.89;-431.76;-434.29;-325.08;-315.37;-385.12;-484.99;-424.42;-344.66;-481.03;-482.61;-502.85;-462.29;-479.91;-445.18;-448.28;-416.89;-300.26;-472.47;-471.9;-393.86;-451.91;-288.75;-451.45;-431;-486.46;-476.48;-457.46;-400.33;-460.3;-432;-473.69;-432.12
187;-467.6;-434.67;-462.93;-425.4;-384.37;-343.41;-429.34;-367.86;-316.2;-318.04;-386.66;-348.63;-410.9;-297.97;-336.72;-309.41;-378.69;-332.11;-450.74;-429.28;-461.55;-411.43;-449.16;-428.87;-477.86;-452.07;-427.76;-423.61;-453.83;-442.51;-449.2;-444.39;-451.58;-441.84;-451.33;-436.67;-429.13;-434.38;-416.12;-381.01;-355.08;-374.62;-444.65;-416.1;-429.93;-432.21;-321.79;-311.12;-382.82;-482.99;-422.33;-340.53;-480.74;-481.44;-502.52;-461.58;-478.78;-443.51;-446.82;-414.68;-297.17;-470.51;-469.85;-390.31;-450.58;-286.46;-450.2;-428.83;-485.37;-475.14;-455.12;-397.24;-459;-430.75;-472.73;-430.37
188;-465.55;-431.91;-460.88;-422.73;-381.28;-340.45;-428.13;-366.61;-314.61;-315.96;-383.91;-345.96;-409.07;-296.39;-334.76;-307.99;-377.4;-330.27;-448.95;-425.86;-460.09;-409.42;-447.28;-426.91;-476.82;-450.69;-425.5;-419.31;-451.87;-439.88;-447.78;-442.34;-449.12;-439.01;-449.62;-433.42;-427.26;-432.79;-414.16;-378.63;-352.87;-371.66;-443.32;-414.85;-427.42;-429.62;-319.7;-307.86;-380.86;-481.44;-420.96;-338.57;-480.49;-479.52;-502.1;-460.45;-477.4;-441.09;-444.69;-411.34;-294.54;-469.09;-468.22;-387.77;-448.82;-283.04;-448.24;-426.07;-483.7;-473.39;-453.33;-395.03;-457.29;-428.99;-471.48;-428.16
189;-464.05;-429.95;-459.34;-420.81;-379.28;-338.32;-426.46;-364.82;-312.4;-312.95;-381.99;-343.96;-406.48;-294.18;-332.09;-305.98;-375.81;-327.56;-447.36;-423.44;-457.79;-406.84;-446.2;-425.45;-475.57;-448.44;-423.88;-416.31;-450.37;-437.84;-445.9;-439.51;-447.28;-436.88;-448.28;-432.08;-425.8;-431.66;-412.57;-377.13;-349.74;-368.07;-441.61;-412.89;-425.59;-427.74;-316.49;-303.73;-378.32;-479.23;-418.99;-334.82;-480.07;-478.52;-501.72;-459.66;-476.32;-439.34;-442.9;-408.76;-291.29;-467.05;-466.05;-384.26;-447.36;-280.7;-446.7;-423.82;-482.41;-472.14;-450.49;-392.11;-456;-427.7;-470.23;-426.41
190;-461.97;-427.12;-457.59;-418.14;-376.36;-335.36;-425.17;-363.48;-310.94;-310.87;-379.36;-341.28;-404.56;-292.47;-330.22;-304.52;-374.35;-325.76;-444.82;-419.6;-456.04;-404.75;-444.61;-423.32;-474.61;-446.81;-421.62;-411.47;-448.28;-434.83;-444.61;-437.46;-444.61;-433.92;-446.28;-429.08;-424.04;-430.16;-410.32;-374.87;-347.28;-365.11;-440.52;-411.72;-423.17;-425.2;-314.49;-300.81;-376.57;-477.56;-417.28;-331.31;-479.7;-477.14;-501.02;-458.45;-474.69;-436.67;-440.52;-405.21;-288.87;-465.54;-464.43;-382.01;-445.4;-276.9;-444.61;-420.56;-480.32;-470.18;-448.57;-389.98;-454.46;-426.32;-468.39;-423.94
191;-460.46;-425.03;-456.25;-416.43;-374.15;-333.4;-423.42;-361.73;-308.73;-307.9;-377.27;-339.32;-401.85;-290.55;-327.67;-302.65;-372.6;-323.13;-442.73;-416.93;-453.46;-402.2;-443.57;-421.77;-472.81;-444.01;-420.08;-407.8;-446.65;-432.71;-442.32;-434.46;-442.61;-431.66;-444.69;-426.24;-422.67;-428.95;-408.48;-373.08;-344.02;-360.9;-438.98;-410.13;-421.41;-423.32;-311.44;-296.55;-374.15;-475.18;-414.57;-326.51;-479.11;-476.06;-500.47;-457.45;-473.56;-434.92;-438.69;-402.62;-285.58;-463.25;-462.22;-379.3;-444.03;-274.23;-442.9;-418.44;-478.7;-468.76;-445.53;-386.93;-453.33;-425.32;-466.85;-421.86
